"Step","tpu-v4-spmd-resumed-18000 - train/loss","tpu-v4-spmd-resumed-18000 - train/loss__MIN","tpu-v4-spmd-resumed-18000 - train/loss__MAX"
"30740","9.25","9.25","9.25"
"30760","6.9375","6.9375","6.9375"
"30780","11.25","11.25","11.25"
"30800","8.4375","8.4375","8.4375"
"30820","6.8125","6.8125","6.8125"
"30840","13.25","13.25","13.25"
"30860","8.75","8.75","8.75"
"30880","7","7","7"
"30900","7.6875","7.6875","7.6875"
"30920","6.375","6.375","6.375"
"30940","8.25","8.25","8.25"
"30960","9.625","9.625","9.625"
"30980","7.875","7.875","7.875"
"31000","7.21875","7.21875","7.21875"
"31020","6.5","6.5","6.5"
"31040","12.125","12.125","12.125"
"31060","5.96875","5.96875","5.96875"
"31080","7.75","7.75","7.75"
"31100","9.875","9.875","9.875"
"31120","8.0625","8.0625","8.0625"
"31140","16.75","16.75","16.75"
"31160","9.125","9.125","9.125"
"31180","6.375","6.375","6.375"
"31200","10.125","10.125","10.125"
"31220","7.75","7.75","7.75"
"31240","9.125","9.125","9.125"
"31260","9.1875","9.1875","9.1875"
"31280","6.75","6.75","6.75"
"31300","8.375","8.375","8.375"
"31320","9.75","9.75","9.75"
"31340","7.40625","7.40625","7.40625"
"31360","9.25","9.25","9.25"
"31380","6.90625","6.90625","6.90625"
"31400","6.3125","6.3125","6.3125"
"31420","7.53125","7.53125","7.53125"
"31440","6.375","6.375","6.375"
"31460","7.8125","7.8125","7.8125"
"31480","6.625","6.625","6.625"
"31500","6.34375","6.34375","6.34375"
"31520","9.875","9.875","9.875"
"31540","7.0625","7.0625","7.0625"
"31560","6.6875","6.6875","6.6875"
"31580","8.1875","8.1875","8.1875"
"31600","7.28125","7.28125","7.28125"
"31620","6.03125","6.03125","6.03125"
"31640","7.125","7.125","7.125"
"31660","10","10","10"
"31680","6.75","6.75","6.75"
"31700","8.0625","8.0625","8.0625"
"31720","7.84375","7.84375","7.84375"
"31740","8.1875","8.1875","8.1875"
"31760","6.125","6.125","6.125"
"31780","7.0625","7.0625","7.0625"
"31800","7.28125","7.28125","7.28125"
"31820","13.5625","13.5625","13.5625"
"31840","6.03125","6.03125","6.03125"
"31860","7.75","7.75","7.75"
"31880","10","10","10"
"31900","7.5625","7.5625","7.5625"
"31920","6.0625","6.0625","6.0625"
"31940","6.3125","6.3125","6.3125"
"31960","6.5625","6.5625","6.5625"
"31980","8.75","8.75","8.75"
"32000","7.3125","7.3125","7.3125"
"32020","7.34375","7.34375","7.34375"
"32040","7.375","7.375","7.375"
"32060","6.125","6.125","6.125"
"32080","7.5625","7.5625","7.5625"
"32100","7.5","7.5","7.5"
"32120","7.375","7.375","7.375"
"32140","7.8125","7.8125","7.8125"
"32160","7.1875","7.1875","7.1875"
"32180","6.5625","6.5625","6.5625"
"32200","21.75","21.75","21.75"
"32220","6.9375","6.9375","6.9375"
"32240","8.1875","8.1875","8.1875"
"32260","9.5","9.5","9.5"
"32280","8.125","8.125","8.125"
"32300","13.3125","13.3125","13.3125"
"32320","7.0625","7.0625","7.0625"
"32340","7.5","7.5","7.5"
"32360","10.625","10.625","10.625"
"32380","7.4375","7.4375","7.4375"
"32400","9.25","9.25","9.25"
"32420","6.4375","6.4375","6.4375"
"32440","8.5625","8.5625","8.5625"
"32460","6.9375","6.9375","6.9375"
"32480","7.25","7.25","7.25"
"32500","6.875","6.875","6.875"
"32520","9.875","9.875","9.875"
"32540","8","8","8"
"32560","10.1875","10.1875","10.1875"
"32580","7.875","7.875","7.875"
"32600","7.1875","7.1875","7.1875"
"32620","7.375","7.375","7.375"
"32640","7.40625","7.40625","7.40625"
"32660","10.625","10.625","10.625"
"32680","10.25","10.25","10.25"
"32700","8.125","8.125","8.125"
"32720","7.0625","7.0625","7.0625"
"32740","7.46875","7.46875","7.46875"
"32760","9.5625","9.5625","9.5625"
"32780","9.25","9.25","9.25"
"32800","14","14","14"
"32820","9.0625","9.0625","9.0625"
"32840","10","10","10"
"32860","6.5","6.5","6.5"
"32880","7.375","7.375","7.375"
"32900","6.8125","6.8125","6.8125"
"32920","6.59375","6.59375","6.59375"
"32940","9.9375","9.9375","9.9375"
